X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2121,107/08/21,2170537,18814463.0,8.67,8.7,8.62,8.744,0.12,821,1,8.35,9.35,34.0,20.0149101,18.21797863,14.6241157,1
2122,107/08/22,2080333,18268716.0,8.82,8.82,8.72,8.691999999999998,0.1,833,1,8.35,9.32,45.36082474,28.46354832,21.63316853,7.972408952,1
2123,107/08/23,3581894,31907425.0,8.76,9.1,8.66,8.661,0.17,1012,0,8.35,9.1,81.33333333,46.08680999,29.78438235,-2.820472932,0
2124,107/08/24,999515,8839163.0,8.9,8.9,8.8,8.638,-0.11,429,0,8.35,9.1,66.66666667,52.94676221,37.50517564,6.622002482,0
2125,107/08/27,793675,7020603.0,8.85,8.88,8.82,8.658,-0.03,333,1,8.35,9.1,62.66666667,56.18673037,43.73236055,18.82362091,0
2126,107/08/28,1127054,9983430.0,8.84,8.89,8.82,8.683,0.06,472,1,8.35,9.1,70.66666667,61.0133758,49.49269896,26.45134529,1
2127,107/08/29,1667644,14917144.0,8.88,8.97,8.88,8.724,0.03,614,0,8.36,9.1,74.32432432,65.45035864,54.81191886,33.53503929,1
2128,107/08/30,807100,7161593.0,8.95,8.95,8.84,8.768,-0.06,399,0,8.39,9.1,64.78873239,65.22981656,58.28455142,44.39402115,1
2129,107/08/31,1229808,10912357.0,8.85,8.98,8.79,8.815999999999999,-0.01,393,0,8.62,9.1,45.83333333,58.76432215,58.444475,57.8047807,1
2130,107/09/03,918663,8084334.0,8.84,8.84,8.75,8.834999999999999,-0.08,335,0,8.66,9.1,22.72727273,46.75197234,54.54697411,70.13697766,0
2131,107/09/04,1256277,10898618.0,8.76,8.79,8.63,8.834,-0.08,457,0,8.63,9.1,10.63829787,34.71408085,47.93600969,74.37986737,1
2132,107/09/05,828423,7167858.0,8.68,8.68,8.63,8.818999999999999,-0.04,413,0,8.63,8.98,2.857142857,24.09510152,39.9890403,71.77691787,1
2133,107/09/06,1050010,9014672.0,8.64,8.64,8.56,8.779,-0.08,465,1,8.56,8.98,0.0,16.06340101,32.01382721,63.91467959,1
2134,107/09/07,2079507,17856285.0,8.55,8.64,8.55,8.754000000000001,0.04,865,0,8.55,8.98,11.62790698,14.584903,26.2041858,49.44275141,1
2135,107/09/10,2240502,19037895.0,8.6,8.6,8.45,8.716999999999999,-0.15,726,1,8.45,8.98,0.0,9.723268668,20.71054676,42.68510294,1
2136,107/09/11,2672762,22866095.0,8.45,8.68,8.45,8.697,0.23,709,0,8.45,8.98,43.39622642,20.94758792,20.78956048,20.4735056,1
2137,107/09/12,959501,8233547.0,8.68,8.68,8.52,8.661,-0.13,455,1,8.45,8.98,18.86792453,20.25436679,20.61116258,21.32475417,1
2138,107/09/13,1163070,10003525.0,8.55,8.66,8.55,8.635,0.04,484,1,8.45,8.84,35.8974359,25.46872316,22.23034944,15.75360201,1
2139,107/09/14,2127212,18563009.0,8.59,8.84,8.58,8.633000000000001,0.23,690,0,8.45,8.84,94.87179487,48.6030804,31.02125976,-4.142381516,0
2140,107/09/17,693090,6052290.0,8.8,8.8,8.7,8.632,-0.07,278,1,8.45,8.84,76.92307692,58.04307924,40.02853292,3.999440279,0
2141,107/09/18,1529645,13393195.0,8.74,8.79,8.71,8.641,0.02,478,0,8.45,8.84,82.05128205,66.04581351,48.70095978,14.01125233,1
2142,107/09/19,1968070,17306646.0,8.77,8.84,8.75,8.654,0,665,0,8.45,8.84,82.05128205,71.38096969,56.26096308,26.02094987,1
2143,107/09/20,877838,7652561.0,8.77,8.78,8.68,8.667,-0.08,427,1,8.45,8.84,61.53846154,68.10013364,60.20735327,44.42179253,1
2144,107/09/21,1472288,12851363.0,8.72,8.77,8.69,8.678999999999998,0.03,670,0,8.45,8.84,69.23076923,68.47701217,62.96390624,51.93769437,1
2145,107/09/25,2178266,18872797.0,8.7,8.7,8.65,8.699000000000002,-0.07,622,0,8.52,8.84,40.625,59.19300811,61.7069402,66.73480436,1
2146,107/09/26,1556994,13473045.0,8.65,8.73,8.62,8.696000000000002,0,471,1,8.55,8.84,34.48275862,50.95625828,58.12337956,72.45762211,1
2147,107/09/27,5125548,44935430.0,8.66,8.84,8.66,8.723,0.17,1191,0,8.58,8.84,92.30769231,64.74006962,60.32894291,51.50668949,1
2148,107/09/28,2308573,20338316.0,8.88,8.9,8.73,8.737,-0.09,771,0,8.62,8.9,39.28571429,56.25528451,58.97105678,64.40260131,1
2149,107/10/01,1302472,11356199.0,8.73,8.78,8.7,8.726,-0.02,309,0,8.62,8.9,32.14285714,48.21780872,55.38664076,69.72430484,1
2150,107/10/02,1205809,10415439.0,8.71,8.72,8.61,8.713,-0.09,427,0,8.61,8.9,3.448275862,33.2946311,48.02263754,77.47865042,1
2151,107/10/03,1147809,9871639.0,8.62,8.66,8.59,8.695,-0.03,358,0,8.59,8.9,0.0,22.19642073,39.41389861,73.84885435,1
2152,107/10/04,1740539,14872693.0,8.59,8.61,8.51,8.669,-0.08,490,0,8.51,8.9,0.0,14.79761382,31.20847034,64.03018339,1
2153,107/10/05,1967056,16562285.0,8.51,8.51,8.34,8.645,-0.06,743,0,8.34,8.9,19.64285714,16.41269493,26.27654521,46.00424576,1
2154,107/10/08,1589526,13354711.0,8.4,8.43,8.35,8.614,-0.04,408,0,8.34,8.9,12.5,15.10846329,22.55385123,37.44462713,1
2155,107/10/09,2013204,16935839.0,8.38,8.46,8.38,8.587,-0.03,522,0,8.34,8.9,7.142857143,12.45326124,19.1869879,32.65444123,1
2156,107/10/11,5535797,43075633.0,8.1,8.1,7.56,8.48,-0.8,1451,0,7.56,8.9,1.492537313,8.799686597,15.72455413,29.57428921,1
2157,107/10/12,6284969,46272113.0,7.2,7.58,7.2,8.341,-0.15,1564,1,7.2,8.78,14.55696203,10.71877841,14.05596222,20.73032986,1
2158,107/10/15,2369329,17871174.0,7.43,7.6,7.4,8.224,0.13,804,0,7.2,8.72,23.68421053,15.04058911,14.38417119,13.07133534,1
2159,107/10/16,2358613,17844859.0,7.6,7.68,7.46,8.1,-0.09,845,1,7.2,8.66,18.49315068,16.19144297,14.98659511,12.5768994,1
2160,107/10/17,2041845,15474290.0,7.56,7.64,7.52,7.999,0.14,737,1,7.2,8.61,29.07801418,20.48696671,16.82005231,9.486223521,1
2161,107/10/18,7910342,64978974.0,7.62,8.37,7.62,7.976999999999999,0.76,2896,1,7.2,8.51,89.3129771,43.42897017,25.6896916,-9.788865547,0
2162,107/10/19,8516226,73274993.0,8.36,8.95,8.1,7.998,0.35,2933,1,7.2,8.95,86.85714286,57.90502773,36.42813698,-6.525644535,1
2163,107/10/22,6532348,58072528.0,8.72,9.0,8.66,8.043000000000001,0.18,2215,0,7.2,9.0,94.44444444,70.0848333,47.64703575,2.771440651,1
2164,107/10/23,3545157,31052278.0,8.82,8.89,8.65,8.068000000000001,-0.24,1373,1,7.2,9.0,81.11111111,73.76025924,56.35144358,21.53381227,1
2165,107/10/24,2520586,21627273.0,8.67,8.73,8.37,8.097999999999999,0.02,1001,0,7.2,9.0,82.22222222,76.58091357,63.09460024,36.1219736,1
2166,107/10/25,3383355,28416638.0,8.41,8.5,8.3,8.178,-0.3,909,0,7.4,9.0,61.25,71.47060904,65.88660318,54.71859144,1
2167,107/10/26,2234186,18797498.0,8.62,8.62,8.26,8.27,-0.03,793,0,7.46,9.0,57.79220779,66.91114196,66.22811611,64.86206439,1
2168,107/10/29,2831195,22989729.0,8.36,8.36,8.0,8.323,-0.26,1013,1,7.52,9.0,38.51351351,57.44526581,63.30049934,75.0109664,1
2169,107/10/30,3657506,29763557.0,8.15,8.3,8.05,8.406,0.21,1350,1,7.62,9.0,49.27536232,54.72196465,60.44098778,71.87903403,1
2170,107/10/31,4046860,34504175.0,8.31,8.72,8.31,8.499,0.24,1589,1,8.0,9.0,54.0,54.48130976,58.45442844,66.40066579,1
2171,107/11/01,2676459,22711179.0,8.59,8.59,8.41,8.517,0.01,983,0,8.0,9.0,55.0,54.65420651,57.1876878,62.25465037,1
2172,107/11/02,2786307,23640647.0,8.55,8.56,8.44,8.49,-0.1,864,1,8.0,8.89,50.56179775,53.29007026,55.88848195,61.08530533,1
2173,107/11/05,2232411,18882164.0,8.48,8.5,8.41,8.446,0.01,938,0,8.0,8.73,63.01369863,56.53127972,56.10274787,55.24568418,1
