X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2079,908889,55397203,61.1,61.7,60.7,60.7,587,60.0,63.5,20.0,21.99956451,19.3437928,14.03224938,0
2080,1644417,100861232,60.2,62.2,60.1,62.2,1090,60.0,63.5,62.85714286,35.61875729,24.76878097,3.06882831,1
2081,1402421,86106009,62.5,62.5,61.0,61.0,1113,60.0,63.2,31.25,34.16250486,27.90002226,15.37505707,1
2082,1158800,70906677,61.0,61.8,60.5,61.3,916,60.0,63.2,40.625,36.31666991,30.70557148,19.48337462,1
2083,3030723,182797380,61.2,61.7,59.6,59.8,1974,59.6,62.5,6.896551724,26.50996385,29.3070356,34.90117911,1
2084,1904227,115804861,60.0,61.5,60.0,61.1,1343,59.6,62.5,51.72413793,34.91468854,31.17625325,23.69938266,1
2085,1482184,90000453,62.0,62.0,60.1,60.1,1109,59.6,62.5,17.24137931,29.02358546,30.45869732,33.32892103,1
2086,5952442,373641875,60.8,63.9,60.3,62.9,3725,59.6,63.9,76.74418605,44.93045233,35.28261566,15.98694232,1
2087,3108481,195559759,63.5,63.7,61.8,62.7,2185,59.6,63.9,72.09302326,53.98464264,41.51662465,16.58058868,0
2088,2634320,165324009,62.9,64.5,61.0,61.6,1983,59.6,64.5,40.81632653,49.59520393,44.20948441,33.43804536,0
2089,1478989,90299225,62.1,62.1,60.6,61.0,1065,59.6,64.5,28.57142857,42.58727881,43.66874921,45.83169001,0
2090,2973159,186023371,61.4,63.5,61.4,63.4,1868,59.6,64.5,77.55102041,54.24185934,47.19311926,33.09563908,0
2091,2538215,161027345,62.1,64.7,61.8,63.4,1829,59.6,64.7,74.50980392,60.99784087,51.79469313,33.38839764,0
2092,2400476,153150564,63.2,64.3,62.6,64.1,1280,60.0,64.7,87.23404255,69.74324143,57.77754256,33.84614482,0
2093,7495879,496528903,65.0,67.6,64.3,67.1,4379,60.1,67.6,93.33333333,77.6066054,64.38723017,37.94847973,0
2094,3981725,266038506,66.5,67.9,65.3,66.9,2779,60.3,67.9,86.84210526,80.68510535,69.81985523,48.08935499,1
2095,3956869,266167321,67.0,68.5,66.5,66.5,2664,60.6,68.5,74.6835443,78.684585,72.77476516,60.95512546,1
2096,2976834,197015344,66.9,67.2,64.8,66.4,1803,60.6,68.5,73.41772152,76.92896384,74.15949805,68.62056647,1
2097,2246993,146770239,67.0,67.1,64.5,65.0,1489,60.6,68.5,55.69620253,69.85137674,72.72345761,78.46761937,1
2098,6849734,458533778,66.0,68.0,65.9,67.3,4214,61.4,68.5,83.09859155,74.26711501,73.23801008,71.17980022,1
2099,2735706,181942503,67.6,67.9,65.6,66.7,1613,61.8,68.5,73.13432836,73.88951946,73.45517987,72.5865007,0
2100,1414991,94052802,66.5,67.2,65.8,66.1,962,62.6,68.5,59.3220339,69.03369094,71.98135023,77.87666881,1
2101,2337150,154255450,66.4,67.6,64.9,65.0,1568,64.3,68.5,16.66666667,51.57801618,65.18023888,92.38468427,1
2102,1780486,114871197,65.4,65.7,64.2,64.2,1226,64.2,68.5,0.0,34.38534412,54.91527396,95.97513364,1
