,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
935,4336263,19613465,4.7,4.7,4.38,4.38,340,4.3,4.9,13.33333333,53.57566336,63.42248712,83.11613463,0
2702,28169975,2594530252,90.2,94.5,88.8,90.5,14384,80.1,94.5,72.22222222,75.04460421,68.80169327,56.31587138,0
1955,7825616,610113222,77.5,78.5,77.2,77.8,4028,69.6,78.6,91.11111111,71.33226163,53.18832392,16.90044848,0
927,2226370,9705610,4.3,4.41,4.3,4.41,250,4.2,4.8,35.0,44.37029033,58.16422447,85.75209276,0
1321,5539403,359075753,63.7,66.0,63.0,65.2,3020,58.0,66.0,90.0,64.7358144,45.77536358,7.854461952,1
1927,6330750,537857293,84.8,85.5,84.6,85.0,3778,81.1,88.3,54.16666667,46.99168167,40.25089929,26.76933455,0
817,9383196,53953352,5.75,5.75,5.75,5.75,616,3.74,5.75,100.0,97.3307314,92.5063934,82.85771741,1
1722,10317597,492307197,47.7,48.1,47.4,47.65,4429,47.05,50.6,16.90140845,26.25581116,38.73818038,63.70291883,1
1112,11633768,93669838,8.22,8.22,7.85,7.9,1041,7.0,8.22,73.7704918,64.62786303,53.20608024,30.36251465,0
2792,13100131,1025823153,79.7,80.2,77.1,77.8,7168,67.0,80.2,81.81818182,74.15778218,59.61023917,30.51515315,0
2677,20577989,1493161573,72.3,73.5,71.6,72.4,8187,65.6,73.5,86.07594937,81.43062688,82.57182974,84.85423544,1
1014,9912978,55348106,5.51,5.63,5.51,5.55,746,4.8,5.63,90.36144578,62.34902097,43.46245984,5.68933758,0
839,4355468,23526332,5.5,5.5,5.38,5.4,322,5.38,6.1,2.777777778,24.97761612,36.97753142,60.97736203,0
393,3282838,20224118,6.28,6.28,6.1,6.1,1149,6.0,7.03,9.708737864,28.10852091,35.60005576,50.58312545,0
1476,8831333,404876953,46.0,46.65,45.45,45.7,3726,44.9,57.9,6.153846154,24.34712878,40.9001885,74.00630795,0
1172,526662,30668996,57.8,59.5,57.8,58.0,340,57.5,64.0,7.692307692,28.99387852,37.46222434,54.39891596,0
596,330375,799288,2.53,2.53,2.31,2.4,85,2.22,2.64,42.85714286,38.74615711,36.37441197,31.63092167,0
