,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1495,15646125,821564466,52.9,4442,41.59163503,31.6119327,11.65252806,45.09975545948073,47.42909161486281,-0.3608395039205582,-5.000000000000071,-38.70967741935492,0
2357,5541709,451164016,81.3,3037,35.05983024,34.84877449,34.42666298,47.09590954404658,44.23361401786667,0.3026226875879242,-73.33333333333391,-73.33333333333391,1
142,10121320,389161553,38.4,2918,62.38248804,61.73038783,60.42618742,65.80296080637761,65.159277284748,0.6841487942279365,-25.00000000000029,-21.428571428571647,0
1396,14476056,798875480,55.3,6403,49.3732887,60.66822792,83.25810638,46.38324594007877,39.035851099170586,0.6250542895146689,-97.05882352941192,-97.50000000000014,0
1141,7532337,387985024,51.5,3175,17.58426003,24.97903396,39.76858183,28.22854975497827,21.52626748480104,0.0414287290926503,-91.42857142857152,-95.83333333333336,1
814,11324857,663355835,58.5,3821,74.83644156,63.99304716,42.30625836,55.162245114893416,56.713714717837846,0.359506781989569,-100.0,-23.25581395348839,1
2474,6292051,468583774,74.6,2971,74.51643056,61.22505456,34.64230257,57.49239263776232,61.16252345423511,0.185483284799942,0.0,-9.090909090909207,1
462,5887040,234551200,39.95,2514,28.01305553,38.70249777,60.08138225,43.23518753914837,33.04867632332193,0.2760482888210223,-87.8787878787877,-90.24390243902424,1
1682,6321982,383700594,60.9,2140,72.55097845,70.80366625,67.30904185,53.525156196596335,53.54679710676433,0.2073502293073192,-60.00000000000085,-21.428571428571647,0
219,5797995,235448904,40.7,2185,21.55479073,35.4930969,63.36970925,47.24605738011356,39.667746376484686,0.4106479759124793,-77.77777777777743,-89.99999999999986,1
2130,5465180,415408174,76.2,3700,76.274078,65.61450707,44.29536522,51.692902092120704,57.76349644930975,-0.8856480429000388,-36.36363636363619,-13.333333333333286,0
388,8910231,427735945,48.25,3025,76.30687548,80.41778691,88.63960975,72.43000658114748,70.14903934185283,1.685796586576432,-78.9473684210524,-25.0,1
2197,5836455,434751574,74.1,3250,48.42845045,56.56863156,72.84899378,47.19761084721741,45.78943785931809,-0.223721679872418,-76.92307692307709,-80.76923076923083,0
1523,6340132,359240624,56.7,3254,68.79898851,70.29353091,73.28261571,55.913053475028974,53.12110551346182,0.7184273637113934,-74.99999999999956,-28.57142857142837,0
165,6383722,240200807,37.5,2343,71.02500239,56.8545118,28.51353061,53.17602456054264,58.83327342494217,-0.1559507601194719,-5.000000000000071,-4.081632653061278,0
660,11332478,546154389,48.1,4571,28.69760914,41.79788395,67.99843358,37.27862564124855,27.51468132785899,0.2658408013870683,-100.0,-100.0,1
2297,8121361,596493573,73.7,3133,74.89624245,53.15827763,9.682348,58.286538463205005,69.39762698946731,-0.3134581427789295,0.0,0.0,0
2227,12423404,885821836,70.2,3549,57.05591149,41.94328232,11.71802399,53.784620453822086,61.536466690531945,-0.9098652013762464,-6.896551724138016,-6.896551724138016,0
