date,real_close,0
22745674.0,254.0,250.45357
33174934.0,254.0,252.47209
25146840.0,252.0,254.00809
13888148.0,252.0,254.43355
17257002.0,255.5,254.35324
20231648.0,257.0,255.46695
39037191.0,261.5,256.72318
48525490.0,264.5,259.21066
47698699.0,264.5,262.15884
24967393.0,266.0,264.71365
26251847.0,268.0,266.50653
37386755.0,269.0,268.0687
36572455.0,267.5,269.50034
51743804.0,260.0,269.75244
32651618.0,259.5,266.37692
40446419.0,259.0,263.78555
27376394.0,259.0,261.86868
30200246.0,265.0,261.01746
33688187.0,259.0,261.8652
25686126.0,262.5,261.03662
25902364.0,260.0,261.17194
34166574.0,256.5,261.1487
18868212.0,256.0,259.9512
29317535.0,250.5,258.69138
45620708.0,248.5,255.87814
37223479.0,249.0,252.23602
30331519.0,247.0,250.74995
40006856.0,241.5,249.17068
47097661.0,238.0,247.01125
82872775.0,234.0,243.71684
36289034.0,238.0,238.9035
62258627.0,230.0,237.27574
38226789.0,233.0,234.54553
37447033.0,231.0,232.72334
99322033.0,230.5,232.25243
32260236.0,229.5,231.41068
40375328.0,231.0,229.6687
49163217.0,235.5,229.92699
36687092.0,238.0,231.51794
24443428.0,233.0,233.38582
35901584.0,235.0,234.60703
34651731.0,232.0,235.7755
35521888.0,240.0,234.45662
34691670.0,244.5,235.93433
30409556.0,246.0,238.99309
33731724.0,240.0,242.38715
35403556.0,236.0,243.19586
51692012.0,233.0,241.68843
28798087.0,235.5,238.31085
50234372.0,244.0,236.58493
39717291.0,245.0,239.0036
62136304.0,248.5,241.11931
43460507.0,241.0,244.45522
29735283.0,238.5,243.9024
28770041.0,234.5,242.65688
42007834.0,240.5,240.05376
28085212.0,239.0,239.39967
66370875.0,248.5,239.4916
26832202.0,249.0,242.8064
29549774.0,242.5,245.6902
18691240.0,244.0,245.85408
27317074.0,243.0,245.80858
29190909.0,242.5,245.43306
16538987.0,242.0,244.35287
23812131.0,247.0,243.56848
31296289.0,250.0,244.48071
23868432.0,250.5,246.8446
34264300.0,254.5,249.17166
26141249.0,256.0,251.3948
34346648.0,252.0,253.87605
20908575.0,254.0,254.5167
59879798.0,259.0,254.82202
31863639.0,264.0,257.53296
29273223.0,264.0,260.63455
24511039.0,265.0,263.45715
30698545.0,265.0,265.4228
20768071.0,261.0,265.9578
18473320.0,261.0,265.11185
22895612.0,260.0,264.0048
36365601.0,259.5,263.29208
30107526.0,256.5,261.7321
54165644.0,251.5,259.69754
52835721.0,246.5,256.26193
