date,real_close,predict_close,predict_result
108/10/25,38.2,37.785706,1.0
108/10/28,38.0,38.616142,1.0
108/10/29,37.6,38.679237,0.0
108/10/30,37.85,38.153233,1.0
108/10/31,37.7,38.153343,0.0
108/11/01,37.75,38.11753,1.0
108/11/04,37.9,38.185795,1.0
108/11/05,37.65,38.443237,0.0
108/11/06,37.6,38.268963,0.0
108/11/07,38.2,37.75147,1.0
108/11/08,38.3,38.45111,1.0
108/11/11,38.35,38.965622,1.0
108/11/12,38.8,39.114227,1.0
108/11/13,39.75,39.399178,1.0
108/11/14,39.9,40.04929,1.0
108/11/15,39.7,40.242607,0.0
108/11/18,40.0,40.014168,1.0
108/11/19,40.35,40.188637,1.0
108/11/20,40.25,40.3292,1.0
108/11/21,40.0,40.355907,0.0
108/11/22,39.45,40.27527,0.0
108/11/25,39.4,39.87457,0.0
108/11/26,39.4,39.649437,0.0
108/11/27,39.8,39.300156,1.0
108/11/28,39.6,39.66414,1.0
108/11/29,39.6,39.713577,0.0
108/12/02,40.1,39.636414,1.0
108/12/03,40.65,40.317165,1.0
108/12/04,41.45,41.234,1.0
108/12/05,41.55,41.62072,1.0
108/12/06,41.6,41.716095,0.0
108/12/09,41.5,41.579582,0.0
108/12/10,41.1,41.475136,0.0
108/12/11,41.4,41.225044,1.0
108/12/12,41.95,41.397118,1.0
108/12/13,41.3,42.16784,0.0
108/12/16,41.45,41.770294,0.0
108/12/17,42.15,41.485283,1.0
108/12/18,43.7,42.276237,1.0
108/12/19,44.8,43.93505,1.0
108/12/20,44.7,44.925907,0.0
108/12/23,44.15,44.405018,0.0
108/12/24,44.4,43.782448,0.0
108/12/25,44.25,43.663265,1.0
108/12/26,44.15,43.716103,1.0
108/12/27,43.9,43.73046,0.0
108/12/30,44.0,43.697853,0.0
108/12/31,43.65,43.661057,0.0
109/01/02,43.2,43.093204,0.0
109/01/03,42.45,43.051525,0.0
109/01/06,42.0,42.767693,0.0
109/01/07,43.0,42.117508,1.0
109/01/08,42.75,42.354805,0.0
109/01/09,42.95,42.352493,1.0
109/01/10,43.0,42.431995,1.0
109/01/13,43.25,42.484413,1.0
109/01/14,43.05,42.876396,1.0
109/01/15,42.85,43.04392,0.0
109/01/16,42.9,42.889084,0.0
109/01/17,43.0,42.853806,1.0
109/01/20,42.6,42.937912,0.0
109/01/30,40.4,42.515385,0.0
109/01/31,41.3,41.615997,0.0
109/02/03,41.05,41.432487,0.0
109/02/04,41.05,41.07552,0.0
109/02/05,41.05,40.976322,0.0
109/02/06,41.3,40.94384,1.0
109/02/07,40.5,41.122284,0.0
109/02/10,40.25,40.77823,0.0
109/02/11,40.5,40.30364,1.0
109/02/12,40.65,40.437744,1.0
109/02/13,40.7,40.657944,1.0
109/02/14,40.75,40.72372,0.0
109/02/17,40.95,40.684696,1.0
109/02/18,41.45,40.90628,1.0
109/02/19,41.45,41.250664,1.0
109/02/20,41.3,41.42518,0.0
109/02/21,40.95,41.379837,0.0
109/02/24,40.55,41.077965,0.0
109/02/25,40.45,40.629833,0.0
109/02/26,40.15,40.39051,0.0
109/02/27,40.3,40.08855,0.0
109/03/02,40.0,40.034367,0.0
109/03/03,40.15,39.992455,1.0
109/03/04,40.0,40.11299,0.0
109/03/05,40.3,40.000233,1.0
109/03/06,40.05,40.15933,0.0
109/03/09,38.65,40.140537,0.0
109/03/10,38.4,39.430016,0.0
109/03/11,38.7,38.913433,0.0
109/03/12,37.4,38.697052,0.0
109/03/13,36.0,37.89406,0.0
109/03/16,35.8,37.01876,0.0
109/03/17,35.25,36.20216,0.0
109/03/18,34.7,35.395916,0.0
109/03/19,32.0,34.8208,0.0
109/03/20,34.2,33.964767,0.0
109/03/23,33.3,33.821648,0.0
109/03/24,33.85,33.6288,1.0
109/03/25,34.9,33.70986,1.0
109/03/26,34.9,34.377083,1.0
109/03/27,35.1,34.926205,1.0
109/03/30,36.5,35.40433,1.0
109/03/31,36.95,35.969772,1.0
109/04/01,36.95,36.75105,1.0
109/04/06,37.05,37.126877,0.0
109/04/07,37.05,37.112263,0.0
109/04/08,37.15,37.110054,1.0
109/04/09,37.5,37.116028,1.0
109/04/10,37.8,37.31707,1.0
109/04/13,37.65,37.649017,1.0
109/04/14,38.45,37.82384,1.0
109/04/15,39.7,38.32956,1.0
109/04/16,39.4,39.089096,1.0
109/04/17,38.8,39.36934,0.0
109/04/20,39.45,39.211975,1.0
109/04/21,38.65,39.586433,0.0
109/04/22,38.55,39.186108,0.0
109/04/23,39.3,38.841217,1.0
109/04/24,39.8,39.386593,1.0
109/04/27,39.9,39.98071,1.0
109/04/28,40.7,40.29042,1.0
109/04/29,41.45,40.83074,1.0
109/04/30,41.45,41.355667,1.0
109/05/04,40.85,41.608253,0.0
109/05/05,41.95,41.155888,1.0
109/05/06,41.5,41.87165,0.0
109/05/07,42.25,41.79973,1.0
109/05/08,43.35,42.13481,1.0
109/05/11,43.0,42.968246,1.0
109/05/12,42.15,43.151115,0.0
109/05/13,42.35,42.44356,0.0
109/05/14,41.9,42.197075,0.0
109/05/15,42.8,41.954697,1.0
109/05/18,43.9,42.671234,1.0
109/05/19,44.8,43.77859,1.0
109/05/20,43.85,44.83596,0.0
109/05/21,44.0,44.130733,0.0
109/05/22,43.2,43.77073,0.0
109/05/25,44.25,43.103497,1.0
109/05/26,44.2,43.77103,1.0
109/05/27,44.15,43.98832,1.0
109/05/28,43.75,43.998436,0.0
109/05/29,43.0,43.40356,0.0
109/06/01,43.7,42.666683,1.0
109/06/02,43.8,43.207123,1.0
109/06/03,44.1,43.586838,1.0
109/06/04,44.15,43.96242,1.0
109/06/05,44.2,44.06748,1.0
109/06/08,43.8,44.132523,0.0
109/06/09,43.55,43.969963,0.0
109/06/10,43.55,43.478317,0.0
109/06/11,42.55,43.231148,0.0
109/06/12,42.25,42.390316,0.0
109/06/15,42.7,42.293537,1.0
109/06/16,43.1,42.562424,1.0
