date,real_close,0
108/07/26,13.2,14.050377
108/07/29,13.4,14.00316
108/07/30,13.6,14.214207
108/07/31,13.8,14.255326
108/08/01,13.4,14.363906
108/08/02,13.35,14.194988
108/08/05,13.1,13.939619
108/08/06,13.0,13.761294
108/08/07,13.1,13.582894
108/08/08,13.3,13.708421
108/08/12,13.0,13.856325
108/08/13,12.95,13.725427
108/08/14,13.1,13.598155
108/08/15,12.9,13.65238
108/08/16,13.35,13.463441
108/08/19,13.45,13.651793
108/08/20,13.5,13.933816
108/08/21,13.5,14.018118
108/08/22,13.25,14.066746
108/08/23,13.35,13.885411
108/08/26,13.0,13.91428
108/08/27,13.05,13.604898
108/08/28,13.15,13.526135
108/08/29,13.2,13.849771
108/08/30,13.45,13.886174
108/09/02,13.35,13.923815
108/09/03,13.2,13.9963255
108/09/04,13.6,13.850707
108/09/05,13.6,13.91216
108/09/06,13.55,14.143675
108/09/09,13.6,14.200238
108/09/10,13.6,14.1930485
108/09/11,13.7,14.1338215
108/09/12,13.7,14.186619
108/09/16,13.6,14.231935
108/09/17,13.55,14.2214155
108/09/18,13.55,14.115291
108/09/19,13.6,14.127716
108/09/20,13.8,14.145128
108/09/23,13.7,14.214268
108/09/24,13.65,14.336276
108/09/25,13.6,14.2884865
108/09/26,13.6,14.242529
108/09/27,13.4,14.235097
108/10/01,13.65,14.184051
108/10/02,13.5,14.197242
108/10/03,13.4,14.159165
108/10/04,13.45,13.916573
108/10/07,13.35,13.967177
108/10/08,13.35,13.883179
108/10/09,13.15,13.839237
108/10/14,13.5,13.676434
108/10/15,13.7,13.957066
108/10/16,13.75,14.204674
108/10/17,13.8,14.387001
108/10/18,13.95,14.446668
108/10/21,13.9,14.403561
108/10/22,14.0,14.587164
108/10/23,14.05,14.5982275
108/10/24,14.55,14.580776
108/10/25,14.4,14.68892
108/10/28,14.25,15.200061
108/10/29,14.5,15.18083
108/10/30,14.4,15.081398
108/10/31,14.0,15.144212
108/11/01,14.5,14.733636
108/11/04,14.65,15.127793
108/11/05,14.5,15.452697
108/11/06,14.5,15.559533
108/11/07,14.25,15.396473
108/11/08,14.25,15.162015
108/11/11,14.25,15.064653
108/11/12,14.3,14.895317
108/11/13,14.2,14.858505
108/11/14,14.5,14.828319
108/11/15,14.3,14.912793
108/11/18,14.5,15.025112
108/11/19,14.55,15.115229
108/11/20,14.75,15.219295
108/11/21,14.65,15.307881
108/11/22,14.6,15.321628
108/11/25,15.0,15.339484
108/11/26,15.2,15.227565
108/11/27,15.2,15.912307
108/11/28,15.1,16.641178
108/11/29,14.95,16.336966
108/12/02,15.1,15.873454
108/12/03,15.35,15.7776375
108/12/04,15.85,15.94887
108/12/05,16.55,15.971504
108/12/06,16.2,17.030884
108/12/09,16.25,17.685379
108/12/10,16.45,17.723412
108/12/11,16.25,17.556538
108/12/12,16.6,17.220364
108/12/13,16.6,17.012632
108/12/16,16.65,17.575054
108/12/17,17.0,17.598875
108/12/18,16.8,17.701904
108/12/19,16.7,17.672907
108/12/20,16.7,17.516382
108/12/23,16.55,17.486034
108/12/24,16.55,17.365524
108/12/25,16.65,17.25411
108/12/26,16.55,17.242382
108/12/27,16.7,17.06608
108/12/30,16.55,17.134106
108/12/31,16.45,17.03974
109/01/02,16.55,17.0804
109/01/03,16.3,17.112757
109/01/06,16.05,16.891891
109/01/07,16.0,16.651953
109/01/08,15.75,16.631151
109/01/09,16.05,16.34424
109/01/10,16.15,16.65464
109/01/13,16.05,16.811502
109/01/14,16.25,16.772577
109/01/15,16.15,16.712938
109/01/16,16.15,16.85198
109/01/17,16.0,16.799854
109/01/20,16.05,16.645504
109/01/30,15.1,16.582079
109/01/31,14.9,15.486688
109/02/03,15.0,15.794733
109/02/04,15.2,15.641135
109/02/05,15.5,15.965485
109/02/06,16.25,16.25756
109/02/07,16.35,16.648067
109/02/10,16.4,17.41265
109/02/11,16.7,17.465502
109/02/12,16.9,17.436132
109/02/13,16.85,17.609869
109/02/14,16.5,17.676071
109/02/17,16.4,17.430288
109/02/18,16.15,17.190733
109/02/19,16.1,16.88533
109/02/20,16.3,16.764505
109/02/21,16.05,16.806383
109/02/24,15.8,16.70326
109/02/25,15.9,16.359213
109/02/26,15.6,16.423706
109/02/27,15.3,16.207893
109/03/02,15.25,15.913084
109/03/03,15.5,15.801449
109/03/04,15.8,16.302162
109/03/05,15.7,16.60071
109/03/06,15.45,16.76412
109/03/09,15.05,16.308666
109/03/10,14.95,15.823874
109/03/11,14.8,15.732273
109/03/12,14.35,15.73073
109/03/13,14.05,14.912586
109/03/16,13.9,14.555636
109/03/17,13.75,15.303829
109/03/18,13.8,14.833357
109/03/19,13.7,15.081345
109/03/20,13.85,14.481967
109/03/23,13.75,14.994044
109/03/24,13.85,15.144898
109/03/25,14.1,14.860922
109/03/26,14.1,14.795403
109/03/27,14.0,15.405626
109/03/30,13.95,15.295804
109/03/31,13.65,14.9548025
109/04/01,13.8,14.55884
109/04/06,14.1,14.595595
109/04/07,14.15,14.660403
109/04/08,14.2,14.73936
109/04/09,14.2,15.109665
109/04/10,14.3,15.19914
109/04/13,14.8,15.13852
109/04/14,15.15,15.198419
109/04/15,15.1,15.734279
109/04/16,14.9,15.793152
109/04/17,15.05,15.689285
109/04/20,15.15,15.699828
109/04/21,14.8,16.000872
109/04/22,15.2,15.679071
109/04/23,15.8,15.862379
109/04/24,15.9,16.09335
109/04/27,16.15,16.78735
109/04/28,15.0,16.976782
109/04/29,15.3,15.761288
109/04/30,15.55,16.552856
109/05/04,15.35,16.731153
109/05/05,15.25,16.36747
109/05/06,15.3,16.206867
109/05/07,15.6,16.006035
109/05/08,15.65,15.978821
109/05/11,15.6,16.383104
109/05/12,15.45,16.333755
109/05/13,15.6,16.10755
109/05/14,15.35,16.144003
109/05/15,15.4,15.956522
109/05/18,15.1,15.918059
109/05/19,14.95,15.716144
109/05/20,14.85,15.549016
109/05/21,15.3,15.402789
109/05/22,15.1,15.761939
109/05/25,15.1,15.751418
109/05/26,15.2,15.715761
109/05/27,15.1,15.751708
109/05/28,15.35,15.709781
109/05/29,15.45,15.762834
109/06/01,15.65,15.893181
109/06/02,15.85,16.178932
109/06/03,16.2,16.429335
109/06/04,16.3,16.67934
109/06/05,16.5,16.858135
109/06/08,17.05,17.250496
109/06/09,16.85,17.64367
109/06/10,16.6,17.746464
109/06/11,16.05,17.457859
109/06/12,15.7,17.010008
109/06/15,15.4,16.5076
109/06/16,15.5,16.228527
109/06/17,15.3,16.325321
109/06/18,15.35,16.07554
109/06/19,15.4,16.073116
109/06/22,15.7,16.094706
109/06/23,15.45,16.311913
109/06/24,15.75,16.161556
109/06/29,15.55,16.30563
109/06/30,15.9,16.264622
109/07/01,16.1,16.426174
109/07/02,16.35,16.683378
109/07/03,16.45,16.82724
109/07/06,16.65,17.040482
109/07/07,16.6,17.220821
109/07/08,16.65,17.249704
109/07/09,16.45,17.47205
109/07/10,16.45,17.259167
109/07/13,17.05,17.156845
109/07/14,16.8,17.358734
109/07/15,16.0,17.578846
109/07/16,16.6,16.98721
109/07/17,16.4,17.25225
109/07/20,16.55,17.579922
109/07/21,17.15,17.39443
109/07/22,17.5,17.573986
109/07/23,19.25,18.51223
109/07/24,19.75,19.166815
109/07/27,21.7,20.567797
109/07/28,22.25,23.115393
109/07/29,22.4,24.180483
109/07/30,22.2,25.048891
109/07/31,22.35,24.420385
109/08/03,23.8,24.281101
109/08/04,24.55,24.214647
109/08/05,24.9,26.092958
109/08/06,26.6,25.951645
109/08/07,25.6,27.161015
109/08/10,25.3,27.008123
109/08/11,25.0,26.905594
109/08/12,23.95,26.5807
109/08/13,23.75,24.913172
109/08/14,23.55,25.028536
109/08/17,24.15,24.479948
109/08/18,24.1,24.820576
109/08/19,23.4,24.908564
109/08/20,21.8,24.487501
109/08/21,21.8,22.38633
109/08/24,22.6,22.89667
109/08/25,22.15,23.29946
109/08/26,22.35,23.1763
109/08/27,21.95,23.069435
109/08/28,21.9,22.812454
109/08/31,21.2,22.609613
109/09/01,21.9,21.911764
109/09/02,21.7,22.55833
109/09/03,21.55,22.590233
109/09/04,21.45,22.257545
109/09/07,23.55,21.887238
109/09/08,22.7,23.957838
109/09/09,23.7,23.087887
109/09/10,23.35,24.646732
109/09/11,23.0,24.821217
109/09/14,23.9,24.41467
109/09/15,25.3,24.593735
109/09/16,25.7,25.068201
109/09/17,25.75,27.174503
109/09/18,25.8,27.27252
109/09/21,25.15,27.158075
109/09/22,25.1,26.456697
109/09/23,26.0,25.988195
109/09/24,25.95,26.480516
109/09/25,25.0,26.362411
109/09/28,27.5,26.343523
109/09/29,27.5,27.73682
109/09/30,28.55,28.718481
109/10/05,28.7,29.954205
109/10/06,28.35,30.789295
109/10/07,29.5,30.355286
109/10/08,32.2,30.255022
109/10/12,32.05,31.885359
109/10/13,31.55,34.064457
109/10/14,32.2,33.007946
109/10/15,31.55,33.111134
109/10/16,30.65,32.953533
109/10/19,31.0,31.83931
109/10/20,31.2,32.37117
109/10/21,31.35,32.04119
109/10/22,33.0,31.417358
109/10/23,32.75,33.350998
109/10/26,33.0,33.974583
109/10/27,33.5,34.985775
