,X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
77,77,1999/4/30,19684509,1186166082,59.5,60.9,59.5,59.57000000000001,-0.04000000000001336,5535,0,58.5,60.9,70.83333333,51.34933487,44.26725664,30.10310019
78,78,1999/5/3,9305923,555774780,59.8,60.0,59.5,59.529999999999994,1.4210854715202004e-14,2872,1,58.5,60.9,50.0,50.89955658,46.47802329,37.63495671
79,79,1999/5/4,9147052,548067819,59.7,60.3,59.5,59.53000000000001,0.009999999999990905,2245,1,58.5,60.9,66.66666667,56.15525994,49.70376884,36.80078664
80,80,1999/5/5,11235922,673444496,59.5,60.2,59.3,59.54,0.10000000000000142,3568,1,58.5,60.9,66.66666667,59.65906218,53.02219996,39.7484755
81,81,1999/5/6,13490121,807429290,59.9,60.3,59.6,59.64,0.07000000000000028,2960,1,58.8,60.9,47.61904762,55.645724,53.89670797,50.39867592
82,82,1999/5/7,10561120,630221110,59.4,59.9,59.4,59.71,0.03999999999999915,1976,1,58.9,60.9,30.0,47.09714933,51.63018842,60.69626661
83,83,1999/5/10,7803987,466788320,59.6,60.2,59.5,59.75,0.0,2514,0,58.9,60.9,55.0,49.73143289,50.99726991,53.52894396
84,84,1999/5/11,9517803,568411780,59.8,59.9,59.6,59.75,0.030000000000008242,2192,1,59.0,60.9,31.57894737,43.68060438,48.5583814,58.31393544
85,85,1999/5/12,5275061,314826324,59.6,60.0,59.6,59.78000000000001,0.0899999999999963,1980,1,59.3,60.9,18.75,35.37040292,44.16238857,61.74635988
86,86,1999/5/13,3473290,208653816,60.0,60.3,59.8,59.870000000000005,-0.020000000000003126,1143,0,59.3,60.3,80.0,50.24693528,46.19057081,38.07784187
87,87,1999/5/14,5085284,304679180,59.8,60.3,59.7,59.85,0.04999999999999716,659,1,59.3,60.3,70.0,56.83129019,49.73747727,35.54985143
88,88,1999/5/17,5881029,353539038,60.0,60.3,59.9,59.9,0.02999999999999403,1919,1,59.3,60.3,90.0,67.88752679,55.78749378,31.58742775
89,89,1999/5/18,4401120,265392300,60.2,60.5,60.1,59.92999999999999,0.03999999999999915,2319,1,59.4,60.5,90.90909091,75.5613815,62.37878968,36.01360606
90,90,1999/5/19,3449699,208310582,60.2,60.6,60.0,59.96999999999999,0.04000000000001336,1112,1,59.4,60.6,91.66666667,80.92980989,68.56246308,43.82776948
91,91,1999/5/20,2829961,170815829,60.5,60.5,60.1,60.010000000000005,0.0899999999999963,1291,1,59.5,60.6,63.63636364,75.1653278,70.76341799,61.95959837
92,92,1999/5/21,5249990,316833883,59.9,60.7,59.8,60.1,0.060000000000002274,1627,1,59.6,60.7,72.72727273,74.35264278,71.95982625,67.1741932
93,93,1999/5/24,2634635,159785769,60.4,61.0,60.1,60.160000000000004,0.10999999999999943,1008,1,59.6,61.0,71.42857143,73.37795233,72.43253494,70.54170018
