,X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
64,64,1999/4/13,1105576,36161130,32.9,32.95,32.55,32.78,-0.035000000000003695,526,0,32.5,33.3,6.25,25.58736908,38.04762209,62.96812811
65,65,1999/4/14,1082224,35294027,32.55,32.8,32.55,32.745,0.05000000000000426,460,1,32.5,33.3,18.75,23.30824605,33.13449674,52.78699812
66,66,1999/4/15,3854031,127736162,33.0,33.6,32.75,32.795,0.015000000000000568,1336,1,32.5,33.6,59.09090909,35.2358004,33.83493129,31.03319309
67,67,1999/4/16,2762981,91459607,33.2,33.45,32.9,32.81,-0.10999999999999943,1097,0,32.5,33.6,45.45454545,38.64204875,35.43730378,29.02781384
68,68,1999/4/19,2275137,73668799,32.85,32.9,31.7,32.7,-0.08500000000000796,942,0,31.7,33.6,2.631578947,26.63855882,32.50438879,44.23604874
69,69,1999/4/20,1591374,50652527,32.3,32.3,31.5,32.614999999999995,-0.09499999999999886,629,0,31.5,33.6,19.04761905,24.10824556,29.70567438,40.90053202
70,70,1999/4/21,2363933,75768291,32.0,32.45,31.85,32.519999999999996,-0.09499999999999886,865,0,31.5,33.6,23.80952381,24.00867164,27.80667347,35.40267712
71,71,1999/4/22,2350654,74901750,32.1,32.3,31.6,32.425,-0.07499999999999574,1061,0,31.5,33.6,16.66666667,21.56133665,25.72489453,34.05201029
72,72,1999/4/23,1403877,44835132,32.0,32.1,31.8,32.35,-0.07000000000000028,596,0,31.5,33.6,16.66666667,19.92977999,23.79318968,31.52000907
73,73,1999/4/26,3237449,103952918,31.9,32.45,31.9,32.28,-0.0799999999999983,1049,0,31.5,33.6,28.57142857,22.81032952,23.46556963,24.77604985
74,74,1999/4/27,2162772,68874950,32.3,32.35,31.65,32.2,-0.11500000000000199,847,0,31.5,33.6,11.9047619,19.17514031,22.03542652,27.75599894
75,75,1999/4/28,1749679,54855430,31.0,31.65,31.0,32.085,-0.060000000000002274,716,0,31.0,33.45,20.40816327,19.58614796,21.21900034,24.48470508
76,76,1999/4/29,7617300,249907370,32.9,33.3,32.0,32.025,-0.13999999999999702,2638,0,31.0,33.3,67.39130435,35.52120009,25.98640025,6.916800581
77,77,1999/4/30,5182874,165668807,33.0,33.0,31.55,31.885,-0.0899999999999963,1888,0,31.0,33.3,26.08695652,32.37645224,28.11641758,19.59634827
78,78,1999/5/3,2651168,82343108,31.3,31.45,30.8,31.795000000000005,-0.11000000000000298,1277,0,30.8,33.3,2.0,22.25096816,26.16126777,33.98186701
79,79,1999/5/4,2153340,66374205,31.0,31.1,30.45,31.685000000000002,-0.2150000000000034,830,0,30.45,33.3,12.28070175,18.92754602,23.75002719,33.39498952
80,80,1999/5/5,2567483,76962631,30.5,30.5,29.8,31.47,-0.26999999999999247,1022,0,29.8,33.3,1.428571429,13.09455449,20.19820296,34.40549989
81,81,1999/5/6,2104473,61878874,29.85,29.85,29.15,31.200000000000006,-0.360000000000003,864,0,29.15,33.3,0.0,8.729702994,16.37536964,31.66670292
82,82,1999/5/7,3957381,110947214,28.0,28.4,27.5,30.840000000000003,-0.28000000000000824,1358,0,27.5,33.3,12.93103448,10.13014682,14.2936287,22.62059245
83,83,1999/5/10,1905011,54570816,28.25,29.3,28.2,30.559999999999995,-0.2899999999999956,817,0,27.5,33.3,31.03448276,17.0982588,15.2285054,11.4889986
84,84,1999/5/11,1763350,51598673,29.5,29.55,28.85,30.27,-0.3100000000000023,757,0,27.5,33.3,23.27586207,19.15745989,16.5381569,11.29955091
85,85,1999/5/12,1884845,53956985,28.85,29.4,28.2,29.959999999999997,-0.384999999999998,1001,0,27.5,33.0,16.36363636,18.22618538,17.10083306,14.85012841
86,86,1999/5/13,2831856,80745009,28.5,28.95,28.2,29.575,-0.2849999999999966,1223,0,27.5,31.45,30.37974684,22.27737253,18.82634622,11.92429358
87,87,1999/5/14,1022728,29317110,28.6,28.8,28.5,29.290000000000003,-0.2750000000000057,467,0,27.5,31.1,34.72222222,26.42565576,21.3594494,11.22703667
88,88,1999/5/17,1681413,47570416,28.7,28.7,28.05,29.014999999999997,-0.2749999999999986,719,0,27.5,30.5,20.0,24.28377051,22.3342231,18.43512829
89,89,1999/5/18,1342605,37684109,28.1,28.3,27.95,28.74,-0.18999999999999773,541,0,27.5,29.85,23.40425532,23.99059878,22.88634833,20.67784743
90,90,1999/5/19,2681661,74228158,27.85,28.0,27.3,28.55,-0.1650000000000027,1101,0,27.3,29.55,28.88888889,25.62336215,23.79868627,20.14933451
91,91,1999/5/20,1512524,41708406,27.9,27.9,27.4,28.384999999999998,-0.17999999999999616,666,0,27.3,29.55,8.888888889,20.0452044,22.54752564,27.55216814
92,92,1999/5/21,4067134,106038160,25.7,26.5,25.7,28.205000000000002,-0.28000000000000114,1300,0,25.7,29.55,19.48051948,19.85697609,21.65067579,25.2380752
93,93,1999/5/24,1348452,35781616,26.45,26.75,26.3,27.925,-0.3500000000000014,568,0,25.7,29.4,21.62162162,20.44519127,21.24884762,22.85616032
94,94,1999/5/25,3436679,87512089,26.3,26.3,24.8,27.575,-0.3249999999999993,1251,0,24.8,28.95,13.25301205,18.04779819,20.18183114,24.44989704
95,95,1999/5/26,2438857,61271742,24.85,25.65,24.85,27.25,-0.29499999999999815,921,0,24.8,28.8,8.75,14.94853213,18.43739814,25.41513016
96,96,1999/5/27,1534745,39177164,25.0,25.75,25.0,26.955000000000002,-0.2650000000000041,697,0,24.8,28.7,24.35897436,18.08534621,18.32004749,18.78945007
97,97,1999/5/28,1785812,46948983,26.1,26.6,26.05,26.689999999999998,-0.18999999999999773,764,0,24.8,28.3,37.14285714,24.43784985,20.35931495,12.20224514
98,98,1999/5/31,816535,21367664,26.2,26.4,26.05,26.5,-0.2149999999999963,439,0,24.8,28.0,43.75,30.87523323,23.86462104,9.843396659
99,99,1999/6/1,1018410,26422066,26.2,26.2,25.75,26.285000000000004,-0.21999999999999886,432,0,24.8,27.9,35.48387097,32.41144581,26.71356263,15.31779627
