X,volume,price,open,high,low,close,times,MinLow,MaxHigh,RSV,K,D,J
2927,12695053,535080161,42.45,42.5,41.9,42.47,6389,40.75,43.6,54.38596491,50.25206014,49.29180075,47.37128197
2928,19377206,815750642,42.5,42.65,41.9,42.355000000000004,9176,40.75,43.5,43.63636364,48.04682797,48.87680982,50.53677353
2929,15881887,662677294,42.0,42.15,41.4,42.225,7039,40.75,43.5,23.63636364,39.91000653,45.88787539,57.84361312
2930,11313861,466170605,41.35,41.5,40.8,42.185,5334,40.8,43.5,22.22222222,34.01407843,41.92994307,57.76167236
2931,6356101,263329234,41.35,41.8,41.05,42.08,3769,40.8,43.5,9.259259259,25.76247204,36.54078606,58.0974141
2932,14904914,600519821,40.8,40.8,40.05,41.85,7885,40.05,43.5,1.449275362,17.65807315,30.24654842,55.42349897
2933,10623153,427841390,40.05,40.6,39.9,41.589999999999996,5477,39.9,42.9,16.66666667,17.32760432,25.94023372,43.16549252
2934,9064303,368878423,40.7,40.95,40.5,41.405,4315,39.9,42.65,29.09090909,21.24870591,24.37639112,30.63176153
2935,9043339,364823509,40.5,40.6,40.2,41.2,3450,39.9,42.65,16.36363636,19.62034939,22.79104388,29.13243284
2936,6149432,248714443,40.35,40.85,40.2,40.995,2972,39.9,42.65,14.54545455,17.92871778,21.17026851,27.65336997
2937,10963573,449391318,40.65,41.3,40.6,40.885,4944,39.9,42.15,57.77777778,31.21173778,24.51742493,11.12879924
2938,13869848,576692542,41.85,42.05,41.2,40.83,6892,39.9,42.05,69.76744186,44.06363914,31.03282967,4.971210726
2939,7453072,308210638,41.55,41.65,41.15,40.825,3857,39.9,42.05,67.44186047,51.85637958,37.97401297,10.20927976
2940,6013004,248748408,41.5,41.6,41.2,40.809999999999995,2914,39.9,42.05,62.79069767,55.50115228,43.81639274,20.44687367
2941,5072505,209302958,41.35,41.45,41.1,40.834999999999994,2931,39.9,42.05,65.11627907,58.70619454,48.77966001,28.92659094
2942,8898154,369774192,41.4,41.7,41.35,40.995,4160,40.2,42.05,81.08108108,66.16449006,54.57460336,31.39482996
2943,7325868,305787438,41.85,41.9,41.55,41.14,4125,40.2,42.05,89.18918919,73.83938977,60.99619883,35.30981695
