data,volume,price,open,high,low,close,diff,times,result,Prediction_Result
107/09/26,25061115,6577367245,263.0,263.5,261.0,263.5,0.00,7007,0,0.3812375249500998
107/09/27,38495371,10185827315,264.0,266.0,262.0,265.0,+1.50,11536,1,0.44510978043912175
107/09/28,39645486,10412455506,266.0,266.0,260.0,262.5,-2.50,13060,0,0.4491017964071856
107/10/01,22409380,5882532290,262.0,264.0,261.0,263.0,+0.50,11914,1,0.40718562874251496
107/10/02,38391491,9926505357,262.0,263.0,257.0,257.5,-5.50,17095,0,0.5149700598802395
107/10/03,25228536,6527393860,257.5,260.0,257.0,260.0,+2.50,9992,1,0.3772455089820359
107/10/04,38009727,9690178362,257.0,257.5,254.0,254.0,-6.00,15094,0,0.4630738522954092
107/10/05,40396660,10101451270,250.0,253.0,248.5,250.0,-4.00,16031,0,0.48502994011976047
107/10/08,51083958,12426290240,245.5,246.5,241.0,243.5,-6.50,20745,0,0.7085828343313373
107/10/09,28933345,7051600725,243.5,245.0,242.0,244.0,+0.50,11743,1,0.6666666666666666
107/10/11,96033657,22115862239,233.5,233.5,227.0,227.5,-16.50,37543,0,0.5029940119760479
107/10/12,54439769,12650322522,231.0,237.0,229.0,237.0,+9.50,17980,1,0.7085828343313373
107/10/15,46471280,10766953220,234.0,234.0,230.5,230.5,-6.50,16558,0,0.6586826347305389
107/10/16,39129077,9155829047,229.5,237.0,229.0,237.0,+6.50,15182,1,0.5788423153692615
107/10/17,42887858,10318955161,241.5,243.0,238.0,238.5,+1.50,17550,1,0.624750499001996
107/10/18,27793430,6587887632,238.0,239.0,235.5,236.5,-2.00,10599,0,0.41317365269461076
107/10/19,29648460,6927405460,231.0,236.5,230.0,236.0,-0.50,12378,0,0.42115768463073855
107/10/22,29275777,6872467149,232.5,238.0,231.5,237.0,+1.00,10384,1,0.5548902195608783
107/10/23,36757745,8538586595,232.0,234.0,230.0,230.0,-7.00,13071,0,0.6307385229540918
107/10/24,45480950,10426514872,230.0,231.0,227.0,229.5,-0.50,17339,0,0.5848303393213573
107/10/25,75524118,16643542368,220.5,222.0,219.5,219.5,-10.00,27514,0,0.36726546906187624
107/10/26,54073644,11941421696,223.0,224.0,217.0,221.0,+1.50,17106,1,0.499001996007984
107/10/29,18463792,4107663616,223.0,224.0,221.0,222.5,+1.50,7679,1,0.4491017964071856
107/10/30,29085931,6487213284,221.0,225.0,220.5,223.0,+0.50,8574,1,0.5528942115768463
107/10/31,59933201,13844478353,228.0,234.0,228.0,234.0,+11.00,19183,1,0.6147704590818364
107/11/01,44514797,10480329245,236.0,237.0,233.0,235.5,+1.50,11435,1,0.3213572854291417
107/11/02,30785361,7249667833,236.5,236.5,233.5,236.5,+1.00,11223,1,0.47105788423153694
107/11/05,28157065,6592130635,233.0,235.5,232.0,235.0,-1.50,6994,0,0.3073852295409182
107/11/06,35501176,8311988968,234.0,235.5,232.5,234.5,-0.50,7013,0,0.5109780439121756
107/11/07,39842652,9337023278,233.0,236.0,232.5,234.0,-0.50,7387,0,0.4171656686626746
107/11/08,28086146,6645771069,237.5,237.5,236.0,236.5,+2.50,9461,1,0.3532934131736527
107/11/09,23792081,5526997792,234.5,234.5,231.0,231.0,-5.50,7886,0,0.9241516966067864
107/11/12,26202445,6101377163,230.0,234.5,230.0,231.5,+0.50,6252,1,0.4491017964071856
107/11/13,37565127,8504691960,224.5,228.0,224.5,227.5,-4.00,11507,0,0.4091816367265469
107/11/14,24565279,5639284241,230.0,231.0,228.5,228.5,+1.00,6007,1,0.6646706586826348
107/11/15,22230228,5124189444,229.5,232.0,228.5,231.0,+2.50,5996,1,0.5389221556886228
107/11/16,47138909,10696822542,229.0,229.0,225.0,226.0,-5.00,16009,0,0.47105788423153694
107/11/19,51034754,11355347628,225.0,225.0,221.0,222.0,-4.00,16289,0,0.437125748502994
107/11/20,45686756,9995960780,219.0,220.5,218.0,218.0,-4.00,16874,0,0.5708582834331337
107/11/21,38478343,8361178460,214.5,220.0,214.0,219.0,+1.00,13580,1,0.6307385229540918
107/11/22,22060610,4867686945,221.5,222.0,219.0,219.0,0.00,9095,0,0.5568862275449101
107/11/23,15553334,3406422046,220.5,220.5,217.0,218.5,-0.50,6164,0,0.15768463073852296
107/11/26,35267804,7847501792,219.0,224.0,218.5,223.0,+4.50,9422,1,0.5429141716566867
107/11/27,32676349,7239283641,220.0,224.5,219.0,224.0,+1.00,10170,1,0.5369261477045908
107/11/28,24759026,5560623349,222.5,227.0,222.0,226.5,+2.50,8316,1,0.9001996007984032
107/11/29,46206207,10629450003,231.5,231.5,229.0,229.0,+2.50,15849,1,0.5269461077844312
107/11/30,57352957,12995823319,229.5,231.0,225.5,225.5,-3.50,10931,0,0.34331337325349304
107/12/03,49612186,11579966474,231.0,235.0,231.0,235.0,+9.50,19747,1,0.624750499001996
107/12/04,41947162,9791147799,233.0,234.5,231.0,234.0,-1.00,12545,0,0.3013972055888224
107/12/05,45634576,10316394736,226.5,227.5,225.0,226.0,-8.00,15703,0,0.6167664670658682
107/12/06,40181112,8853295746,220.0,222.0,219.5,220.0,-6.00,15702,0,0.5089820359281437
107/12/07,31997568,7097739916,222.5,223.5,220.5,221.0,+1.00,8315,1,0.4431137724550898
107/12/10,26229461,5744814170,219.5,220.0,218.5,219.0,-2.00,8650,0,0.8063872255489022
107/12/11,27395220,6067551383,220.0,223.0,219.0,222.5,+3.50,8509,1,0.47904191616766467
107/12/12,32926379,7418108779,223.5,227.0,222.5,226.5,+4.00,9117,1,0.4431137724550898
107/12/13,32433141,7345479366,227.0,227.5,225.0,226.0,-0.50,8635,0,0.4171656686626746
107/12/14,43226159,9570070114,223.0,223.5,220.5,222.5,-3.50,10454,0,0.2315369261477046
107/12/17,18964952,4229977248,221.0,225.0,220.0,223.5,+1.00,6449,1,0.3652694610778443
107/12/18,30270541,6713448829,221.0,223.0,220.5,222.5,-1.00,10521,0,0.5349301397205589
107/12/19,23415082,5255393450,222.0,225.5,222.0,225.5,+3.00,7875,1,0.7624750499001997
107/12/20,38697116,8573665030,221.0,222.5,221.0,221.0,-4.50,10528,0,0.47704590818363274
107/12/21,46947532,10401202852,219.0,224.0,219.0,223.5,+2.50,9554,1,0.4750499001996008
107/12/22,5185247,1145814834,220.0,221.5,220.0,221.5,-2.00,2229,0,0.6686626746506986
107/12/24,23376100,5151549100,221.5,221.5,219.5,220.0,-1.50,6122,0,0.6127744510978044
107/12/25,19402777,4198767163,215.5,218.0,215.0,217.5,-2.50,8065,0,0.6906187624750499
107/12/26,16893259,3678108462,218.5,219.5,216.0,216.5,-1.00,6998,0,0.4251497005988024
107/12/27,21915484,4874845852,222.0,224.0,220.5,223.0,+6.50,9531,1,0.4311377245508982
107/12/28,30156773,6762447425,223.5,225.5,222.5,225.5,+2.50,10247,1,0.437125748502994
108/01/02,32900482,7276419230,226.5,226.5,219.0,219.5,-6.00,12329,0,0.6626746506986028
108/01/03,34615620,7459051790,214.0,218.0,214.0,215.5,-4.00,14549,0,0.5389221556886228
108/01/04,67043521,13987136785,211.5,211.5,206.5,208.0,-7.50,28786,0,0.21357285429141717
108/01/07,35695176,7591116569,212.0,214.0,211.0,213.0,+5.00,11224,1,0.36726546906187624
108/01/08,23794481,5019703557,212.0,212.5,210.0,211.0,-2.00,9377,0,0.36127744510978044
108/01/09,51255446,11006827093,212.0,216.5,211.0,215.5,+4.50,14098,1,0.4630738522954092
108/01/10,20832593,4491377349,216.0,216.5,214.5,216.0,+0.50,6018,1,0.6047904191616766
108/01/11,28658288,6296719320,219.0,220.5,218.0,220.5,+4.50,11198,1,0.780439121756487
108/01/14,17612296,3844735324,218.5,220.0,217.0,218.5,-2.00,6469,0,0.30538922155688625
108/01/15,42990923,9399209983,216.5,221.0,215.5,221.0,+2.50,11609,1,0.21956087824351297
108/01/16,30038282,6563789758,218.5,220.0,217.5,217.5,-3.50,8950,0,0.5528942115768463
108/01/17,21163986,4646131841,218.0,221.0,218.0,220.5,+3.00,8288,1,0.8203592814371258
108/01/18,52677569,11530053787,219.0,220.0,217.5,218.5,-2.00,15157,0,0.43313373253493015
108/01/21,32515866,7208829658,220.0,223.0,220.0,221.0,+2.50,10549,1,0.5768463073852296
108/01/22,30958483,6854867566,220.0,223.0,219.0,223.0,+2.00,8258,1,0.5269461077844312
108/01/23,18671213,4121110926,221.5,222.0,220.0,220.5,-2.50,7059,0,0.4411177644710579
108/01/24,31348924,6958753608,222.5,222.5,220.5,222.5,+2.00,6291,1,0.469061876247505
108/01/25,48039764,10870045150,226.5,227.0,225.0,226.0,+3.50,14979,1,0.40718562874251496
108/01/28,29134257,6665379096,229.5,229.5,228.0,229.0,+3.00,10189,1,0.5249500998003992
108/01/29,42566520,9486156460,222.5,225.0,222.0,222.5,-6.50,13344,0,0.20159680638722555
108/01/30,51889945,11453957730,220.5,221.5,220.0,221.0,-1.50,12858,0,0.4431137724550898
108/02/11,81360106,18546167132,228.0,229.0,226.5,228.0,+7.00,21689,1,0.4291417165668663
108/02/12,30125670,6921488930,230.0,230.0,229.0,230.0,+2.00,13313,1,0.4550898203592814
108/02/13,28634925,6575201825,232.0,232.0,228.5,229.0,-1.00,10230,0,0.5508982035928144
108/02/14,23647751,5392943977,229.5,230.0,226.0,227.0,-2.00,6873,0,0.8483033932135728
108/02/15,22369799,5093773373,229.0,229.0,226.5,227.0,0.00,5743,0,0.5568862275449101
108/02/18,18163916,4169729625,229.0,230.5,228.5,230.0,+3.00,7035,1,0.6127744510978044
108/02/19,18423023,4228108427,230.0,230.5,229.0,229.0,-1.00,6471,0,0.47704590818363274
108/02/20,31887710,7430197670,231.5,234.5,231.0,234.5,+5.50,14241,1,0.5409181636726547
108/02/21,34013489,8013908284,235.5,236.5,234.5,236.5,+2.00,11443,1,0.27345309381237526
108/02/22,22032163,5187054985,235.5,236.5,234.0,236.5,0.00,6913,0,0.780439121756487
108/02/25,25227138,5995746054,237.5,239.0,236.0,238.0,+1.50,8527,1,0.6926147704590818
